timestamp	value
2025-09-10 14:26:15	1415739
2025-09-10 14:26:15	1415794
2025-09-10 14:26:15	1415849
2025-09-10 14:26:15	1415989
2025-09-10 14:26:15	1416014
2025-09-10 14:26:15	1416129
2025-09-10 14:26:15	1416214
2025-09-10 14:26:15	1416340
2025-09-10 14:26:15	1416401
2025-09-10 14:26:15	1416513
2025-09-10 14:26:15	1416639
2025-09-10 14:26:15	1416817
2025-09-10 14:26:15	1416856
2025-09-10 14:26:15	1416961
2025-09-10 14:26:15	1417042
2025-09-10 14:26:15	1417109
2025-09-10 14:26:15	1417284
2025-09-10 14:26:15	1417402
2025-09-10 14:26:16	1417479
2025-09-10 14:26:16	1417650
2025-09-10 14:26:16	1417686
2025-09-10 14:26:16	1417782
2025-09-10 14:26:16	1417912
2025-09-10 14:26:16	1417983
2025-09-10 14:26:16	1418036
2025-09-10 14:26:16	1418174
2025-09-10 14:26:16	1418332
2025-09-10 14:26:16	1418447
2025-09-10 14:26:16	1418548
2025-09-10 14:26:16	1418676
2025-09-10 14:26:16	1418784
2025-09-10 14:26:16	1418908
2025-09-10 14:26:16	1418973
2025-09-10 14:26:16	1419027
2025-09-10 14:26:16	1418919
2025-09-10 14:26:16	1418587
2025-09-10 14:26:16	1418212
2025-09-10 14:26:16	1417681
2025-09-10 14:26:16	1417124
2025-09-10 14:26:16	1416777
2025-09-10 14:26:16	1416348
2025-09-10 14:26:16	1416017
2025-09-10 14:26:16	1415832
2025-09-10 14:26:16	1415670
2025-09-10 14:26:16	1415508
2025-09-10 14:26:16	1415389
2025-09-10 14:26:16	1415376
2025-09-10 14:26:16	1415416
2025-09-10 14:26:16	1415354
2025-09-10 14:26:16	1415418
2025-09-10 14:26:16	1415428
2025-09-10 14:26:16	1415384
2025-09-10 14:26:16	1415381
2025-09-10 14:26:16	1415398
2025-09-10 14:26:16	1415375
2025-09-10 14:26:16	1415422
2025-09-10 14:26:16	1415411
2025-09-10 14:26:16	1415375
2025-09-10 14:26:16	1415388
2025-09-10 14:26:16	1415377
2025-09-10 14:26:16	1415494
2025-09-10 14:26:16	1415540
2025-09-10 14:26:16	1415492
2025-09-10 14:26:16	1415693
2025-09-10 14:26:16	1415773
2025-09-10 14:26:16	1415719
2025-09-10 14:26:16	1415869
2025-09-10 14:26:16	1415894
2025-09-10 14:26:16	1415877
2025-09-10 14:26:16	1415952
2025-09-10 14:26:16	1415934
2025-09-10 14:26:16	1416027
2025-09-10 14:26:16	1415922
2025-09-10 14:26:16	1415960
2025-09-10 14:26:16	1416067
2025-09-10 14:26:16	1416023
2025-09-10 14:26:16	1416094
2025-09-10 14:26:16	1416117
2025-09-10 14:26:16	1416174
2025-09-10 14:26:16	1416172
2025-09-10 14:26:16	1416405
2025-09-10 14:26:16	1416382
2025-09-10 14:26:16	1416450
2025-09-10 14:26:16	1416536
2025-09-10 14:26:16	1416700
2025-09-10 14:26:16	1416713
2025-09-10 14:26:16	1416841
2025-09-10 14:26:16	1416860
2025-09-10 14:26:16	1417035
2025-09-10 14:26:16	1417177
2025-09-10 14:26:16	1417228
2025-09-10 14:26:16	1417347
2025-09-10 14:26:16	1417391
2025-09-10 14:26:16	1417500
2025-09-10 14:26:16	1417732
2025-09-10 14:26:16	1417796
2025-09-10 14:26:16	1417888
2025-09-10 14:26:16	1417902
2025-09-10 14:26:16	1418096
2025-09-10 14:26:16	1418208
2025-09-10 14:26:16	1418343
2025-09-10 14:26:16	1418377
2025-09-10 14:26:16	1418477
2025-09-10 14:26:16	1418599
2025-09-10 14:26:16	1418740
2025-09-10 14:26:16	1418841
2025-09-10 14:26:16	1418948
2025-09-10 14:26:16	1419081
2025-09-10 14:26:16	1419216
2025-09-10 14:26:16	1419070
2025-09-10 14:26:16	1418914
