timestamp,value
2025-09-11 13:59:13,1582548
2025-09-11 13:59:13,1582687
2025-09-11 13:59:13,1582782
2025-09-11 13:59:13,1582897
2025-09-11 13:59:13,1582971
2025-09-11 13:59:13,1583032
2025-09-11 13:59:13,1583138
2025-09-11 13:59:13,1583175
2025-09-11 13:59:13,1583263
2025-09-11 13:59:13,1583214
2025-09-11 13:59:13,1583395
2025-09-11 13:59:13,1583484
2025-09-11 13:59:13,1583549
2025-09-11 13:59:13,1583560
2025-09-11 13:59:13,1583660
2025-09-11 13:59:13,1583793
2025-09-11 13:59:13,1583815
2025-09-11 13:59:13,1583879
2025-09-11 13:59:13,1584075
2025-09-11 13:59:13,1584198
2025-09-11 13:59:13,1584288
2025-09-11 13:59:13,1584305
2025-09-11 13:59:13,1584469
2025-09-11 13:59:13,1584564
2025-09-11 13:59:13,1584520
2025-09-11 13:59:13,1584639
2025-09-11 13:59:13,1584662
2025-09-11 13:59:13,1584769
2025-09-11 13:59:13,1584770
2025-09-11 13:59:13,1584904
2025-09-11 13:59:13,1584963
2025-09-11 13:59:13,1585082
2025-09-11 13:59:13,1585081
2025-09-11 13:59:13,1585223
2025-09-11 13:59:13,1585250
2025-09-11 13:59:13,1585371
2025-09-11 13:59:13,1585435
2025-09-11 13:59:13,1585283
2025-09-11 13:59:13,1585265
2025-09-11 13:59:13,1584947
2025-09-11 13:59:13,1584667
2025-09-11 13:59:13,1584402
2025-09-11 13:59:13,1584096
2025-09-11 13:59:13,1583668
2025-09-11 13:59:14,1583359
2025-09-11 13:59:14,1583093
2025-09-11 13:59:14,1582734
2025-09-11 13:59:14,1582553
2025-09-11 13:59:14,1582313
2025-09-11 13:59:14,1582153
2025-09-11 13:59:14,1582066
2025-09-11 13:59:14,1581925
2025-09-11 13:59:14,1581868
2025-09-11 13:59:14,1581814
2025-09-11 13:59:14,1581847
2025-09-11 13:59:14,1581842
2025-09-11 13:59:14,1581693
2025-09-11 13:59:14,1581781
2025-09-11 13:59:14,1581829
2025-09-11 13:59:14,1581726
2025-09-11 13:59:14,1581725
2025-09-11 13:59:14,1581811
2025-09-11 13:59:14,1581788
2025-09-11 13:59:14,1581842
2025-09-11 13:59:14,1581945
2025-09-11 13:59:14,1582101
2025-09-11 13:59:14,1582207
2025-09-11 13:59:14,1582143
2025-09-11 13:59:14,1582181
2025-09-11 13:59:14,1582225
2025-09-11 13:59:14,1582207
2025-09-11 13:59:14,1582372
2025-09-11 13:59:14,1582381
2025-09-11 13:59:14,1582419
2025-09-11 13:59:14,1582386
2025-09-11 13:59:14,1582476
2025-09-11 13:59:14,1582514
2025-09-11 13:59:14,1582550
2025-09-11 13:59:14,1582483
2025-09-11 13:59:14,1582683
2025-09-11 13:59:14,1582656
2025-09-11 13:59:14,1582790
2025-09-11 13:59:14,1582969
2025-09-11 13:59:14,1583101
2025-09-11 13:59:14,1583251
2025-09-11 13:59:14,1583401
2025-09-11 13:59:14,1583617
2025-09-11 13:59:14,1583797
2025-09-11 13:59:14,1583915
2025-09-11 13:59:14,1583997
2025-09-11 13:59:14,1584203
