subject_id,N,base,hold,acc,roc,f1,prec,rec
jeongyun,44.0,22.0,22.0,1.0,1.0,1.0,1.0,1.0
juyeon,20.0,10.0,10.0,0.75,0.79,0.7619047619047619,0.7272727272727273,0.8
